date_appel,Entite,Famille,Nombre_entrants_corrige
2023-03-23,Entite 2,F2,549.22328244
2023-03-24,Entite 2,F2,540.91718539
2023-03-25,Entite 2,F2,104.96183206
2023-03-26,Entite 2,F2,0.0
2023-03-27,Entite 2,F2,564.21971831
2023-03-28,Entite 2,F2,489.91229868
2023-03-29,Entite 2,F2,520.66359833
2023-03-30,Entite 2,F2,515.92228654
2023-03-31,Entite 2,F2,485.99275362
2023-03-01,Entite 2,F3,390.0
2023-03-02,Entite 2,F3,348.0
2023-03-03,Entite 2,F3,339.93967213
2023-03-04,Entite 2,F3,106.64859813
2023-03-05,Entite 2,F3,0.0
2023-03-06,Entite 2,F3,545.0
2023-03-07,Entite 2,F3,539.0
2023-03-08,Entite 2,F3,436.0
2023-03-09,Entite 2,F3,482.0
2023-03-10,Entite 2,F3,430.0
2023-03-11,Entite 2,F3,143.03283582
2023-03-12,Entite 2,F3,0.0
2023-03-13,Entite 2,F3,570.0
2023-03-14,Entite 2,F3,484.0
2023-03-15,Entite 2,F3,577.72802303
2023-03-16,Entite 2,F3,565.0
2023-03-17,Entite 2,F3,378.0
2023-03-18,Entite 2,F3,135.0
2023-03-19,Entite 2,F3,0.0
2023-03-20,Entite 2,F3,515.0
2023-03-21,Entite 2,F3,503.0
2023-03-22,Entite 2,F3,439.0
2023-03-23,Entite 2,F3,400.23669468
2023-03-24,Entite 2,F3,388.0
2023-03-25,Entite 2,F3,122.56363636
2023-03-26,Entite 2,F3,0.0
2023-03-27,Entite 2,F3,412.0
2023-03-28,Entite 2,F3,382.0
2023-03-29,Entite 2,F3,366.0
2023-03-30,Entite 2,F3,352.0
2023-03-31,Entite 2,F3,321.19208633
2023-03-30,Entite 2,F5,1.0
2023-03-01,Entite 3,F2,1.0
2023-03-02,Entite 3,F2,2.0
2023-03-03,Entite 3,F2,2.0
2023-03-04,Entite 3,F2,1.1
2023-03-05,Entite 3,F2,0.0
2023-03-06,Entite 3,F2,4.7142857143
2023-03-07,Entite 3,F2,1.0
2023-03-08,Entite 3,F2,4.0
2023-03-09,Entite 3,F2,4.4
2023-03-10,Entite 3,F2,1.0
2023-03-11,Entite 3,F2,1.0
2023-03-12,Entite 3,F2,0.0
2023-03-13,Entite 3,F2,3.3
2023-03-14,Entite 3,F2,3.0
2023-03-15,Entite 3,F2,0.0
2023-03-16,Entite 3,F2,3.0
2023-03-17,Entite 3,F2,4.4
2023-03-18,Entite 3,F2,0.0
2023-03-19,Entite 3,F2,0.0
2023-03-20,Entite 3,F2,0.0
2023-03-21,Entite 3,F2,2.0
2023-03-22,Entite 3,F2,3.3
2023-03-23,Entite 3,F2,3.3
2023-03-24,Entite 3,F2,1.0
2023-03-25,Entite 3,F2,0.0
2023-03-26,Entite 3,F2,0.0
2023-03-27,Entite 3,F2,1.0
2023-03-28,Entite 3,F2,2.0
2023-03-29,Entite 3,F2,3.3
2023-03-30,Entite 3,F2,1.0
2023-03-31,Entite 3,F2,2.0
2023-03-01,Entite 3,F5,160.95483871
2023-03-02,Entite 3,F5,136.0
2023-03-03,Entite 3,F5,117.0
2023-03-04,Entite 3,F5,0.0
2023-03-05,Entite 3,F5,0.0
2023-03-06,Entite 3,F5,216.34223301
2023-03-07,Entite 3,F5,220.52132701
2023-03-08,Entite 3,F5,188.18918919
2023-03-09,Entite 3,F5,130.55213675
2023-03-10,Entite 3,F5,164.45679012
2023-03-11,Entite 3,F5,0.0
2023-03-12,Entite 3,F5,0.0
2023-03-13,Entite 3,F5,208.208
2023-03-14,Entite 3,F5,147.76184211
2023-03-15,Entite 3,F5,158.96392405
2023-03-16,Entite 3,F5,144.71111111
2023-03-17,Entite 3,F5,155.16734694
2023-03-18,Entite 3,F5,0.0
2023-03-19,Entite 3,F5,0.0
2023-03-20,Entite 3,F5,166.60818713
2023-03-21,Entite 3,F5,130.0
2023-03-22,Entite 3,F5,136.0
2023-03-23,Entite 3,F5,117.6
2023-03-24,Entite 3,F5,120.25423729
2023-03-25,Entite 3,F5,0.0
2023-03-26,Entite 3,F5,0.0
2023-03-27,Entite 3,F5,129.0
2023-03-28,Entite 3,F5,128.79401709
2023-03-29,Entite 3,F5,124.0
2023-03-30,Entite 3,F5,122.0
2023-03-31,Entite 3,F5,87.0
2023-03-01,Entite 3,F7,666.7047619
