date_appel,Entite,Famille,Nombre_entrants_corrige
2019-01-24,Entite 1,F6,1629.0
2019-01-24,Entite 1,F7,830.0
2019-01-24,Entite 2,F1,1581.0
2019-01-24,Entite 2,F2,1125.0
2019-01-24,Entite 2,F3,326.0
2019-01-24,Entite 3,F2,23.0
2019-01-24,Entite 3,F5,431.0
2019-01-24,Entite 3,F7,880.0
2019-01-24,Entite 4,F5,43.0
2019-01-24,Entite 4,F7,361.0
2019-01-24,Entite 5,F1,39.0
2019-01-24,Entite 5,F2,865.0
2019-01-24,Entite 5,F3,36.0
2019-01-24,Entite 5,F5,498.0
2019-01-24,Entite 5,F6,555.0
2019-01-24,Entite 5,F7,3770.0
2019-01-25,Entite 1,F1,30.0
2019-01-25,Entite 1,F2,192.0
2019-01-25,Entite 1,F3,216.0
2019-01-25,Entite 1,F5,110.0
2019-01-25,Entite 1,F6,1630.0
2019-01-25,Entite 1,F7,1037.0
2019-01-25,Entite 2,F1,1571.0
2019-01-25,Entite 2,F2,1074.0
2019-01-25,Entite 2,F3,340.0
2019-01-25,Entite 2,F5,1.0
2019-01-25,Entite 3,F2,22.0
2019-01-25,Entite 3,F5,537.0
2019-01-25,Entite 3,F7,987.0
2019-01-25,Entite 4,F5,57.0
2019-01-25,Entite 4,F7,314.0
2019-01-25,Entite 5,F1,26.0
2019-01-25,Entite 5,F2,890.0
2019-01-25,Entite 5,F3,33.0
2019-01-25,Entite 5,F5,544.0
2019-01-25,Entite 5,F6,632.0
2019-01-25,Entite 5,F7,4367.0
2019-01-26,Entite 1,F1,3.0
2019-01-26,Entite 1,F2,25.0
2019-01-26,Entite 1,F3,56.0
2019-01-26,Entite 1,F5,16.0
2019-01-26,Entite 1,F6,562.0
2019-01-26,Entite 1,F7,301.0
2019-01-26,Entite 2,F1,364.0
2019-01-26,Entite 2,F2,260.0
2019-01-26,Entite 2,F3,82.0
2019-01-26,Entite 3,F2,3.0
2019-01-26,Entite 3,F7,31.0
2019-01-26,Entite 5,F1,11.0
2019-01-26,Entite 5,F2,183.0
2019-01-26,Entite 5,F3,24.0
2019-01-26,Entite 5,F5,110.0
2019-01-26,Entite 5,F6,481.0
2019-01-26,Entite 5,F7,1059.0
2019-01-28,Entite 1,F1,33.0
2019-01-28,Entite 1,F2,211.0
2019-01-28,Entite 1,F3,255.0
2019-01-28,Entite 1,F5,125.0
2019-01-28,Entite 1,F6,1918.0
2019-01-28,Entite 1,F7,1068.0
2019-01-28,Entite 2,F1,1953.0
2019-01-28,Entite 2,F2,1158.0
2019-01-28,Entite 2,F3,411.0
2019-01-28,Entite 3,F2,36.0
2019-01-28,Entite 3,F5,623.0
2019-01-28,Entite 3,F7,1285.0
2019-01-28,Entite 4,F5,51.0
2019-01-28,Entite 4,F7,547.0
2019-01-28,Entite 5,F1,46.0
2019-01-28,Entite 5,F2,960.0
2019-01-28,Entite 5,F3,52.0
2019-01-28,Entite 5,F5,641.0
2019-01-28,Entite 5,F6,757.0
2019-01-28,Entite 5,F7,4854.0
2019-01-29,Entite 1,F1,36.0
2019-01-29,Entite 1,F2,174.0
2019-01-29,Entite 1,F3,242.0
2019-01-29,Entite 1,F5,100.0
2019-01-29,Entite 1,F6,1645.0
2019-01-29,Entite 1,F7,844.0
2019-01-29,Entite 2,F1,1764.0
2019-01-29,Entite 2,F2,1078.0
2019-01-29,Entite 2,F3,304.0
2019-01-29,Entite 3,F2,3.0
2019-01-29,Entite 3,F5,450.0
2019-01-29,Entite 3,F7,1205.0
2019-01-29,Entite 4,F5,43.0
2019-01-29,Entite 4,F7,405.0
2019-01-29,Entite 5,F1,30.0
2019-01-29,Entite 5,F2,897.0
2019-01-29,Entite 5,F3,27.0
2019-01-29,Entite 5,F5,552.0
2019-01-29,Entite 5,F6,639.0
2019-01-29,Entite 5,F7,4053.0
2019-01-30,Entite 1,F1,18.0
2019-01-30,Entite 1,F2,160.0
2019-01-30,Entite 1,F3,232.0
2019-01-30,Entite 1,F4,4.0
2019-01-30,Entite 1,F5,118.0
2019-01-30,Entite 1,F6,1627.0
2019-01-30,Entite 1,F7,955.0
2019-01-30,Entite 2,F1,1819.0
2019-01-30,Entite 2,F2,1010.0
2019-01-30,Entite 2,F3,339.0
2019-01-30,Entite 3,F2,24.0
2019-01-30,Entite 3,F5,576.0
2019-01-30,Entite 3,F7,997.0
2019-01-30,Entite 4,F5,45.0
2019-01-30,Entite 4,F7,487.0
2019-01-30,Entite 5,F1,25.0
2019-01-30,Entite 5,F2,856.0
2019-01-30,Entite 5,F3,32.0
2019-01-30,Entite 5,F5,602.0
2019-01-30,Entite 5,F6,584.0
2019-01-30,Entite 5,F7,4178.0
2019-01-31,Entite 1,F1,11.0
2019-01-31,Entite 1,F2,168.0
2019-01-31,Entite 1,F3,262.0
2019-01-31,Entite 1,F4,2.0
2019-01-31,Entite 1,F5,88.0
2019-01-31,Entite 1,F6,1330.0
2019-01-31,Entite 1,F7,716.0
2019-01-31,Entite 2,F1,1652.0
2019-01-31,Entite 2,F2,877.0
2019-01-31,Entite 2,F3,281.0
2019-01-31,Entite 3,F2,10.0
2019-01-31,Entite 3,F5,438.0
2019-01-31,Entite 3,F7,904.0
2019-01-31,Entite 4,F5,61.0
2019-01-31,Entite 4,F7,378.0
