date_appel;Entite;Famille;Nombre_entrants_corrige
01/02/2019;Entite 4;F5;65
01/02/2019;Entite 4;F7;334
01/02/2019;Entite 5;F1;32
01/02/2019;Entite 5;F2;738
01/02/2019;Entite 5;F3;27
01/02/2019;Entite 5;F5;514
01/02/2019;Entite 5;F6;728
01/02/2019;Entite 5;F7;3562
02/02/2019;Entite 1;F1;1
02/02/2019;Entite 1;F2;23
02/02/2019;Entite 1;F3;68
02/02/2019;Entite 1;F5;17
02/02/2019;Entite 1;F6;520
02/02/2019;Entite 1;F7;229
02/02/2019;Entite 2;F1;399
02/02/2019;Entite 2;F2;226
02/02/2019;Entite 2;F3;96
02/02/2019;Entite 3;F7;27
02/02/2019;Entite 5;F1;6
02/02/2019;Entite 5;F2;164
02/02/2019;Entite 5;F3;25
02/02/2019;Entite 5;F5;138
02/02/2019;Entite 5;F6;483
02/02/2019;Entite 5;F7;974
04/02/2019;Entite 1;F1;37
04/02/2019;Entite 1;F2;230
04/02/2019;Entite 1;F3;311
04/02/2019;Entite 1;F4;3
04/02/2019;Entite 1;F5;143
04/02/2019;Entite 1;F6;1780
04/02/2019;Entite 1;F7;1298
04/02/2019;Entite 2;F1;1946
04/02/2019;Entite 2;F2;1079
04/02/2019;Entite 2;F3;354
04/02/2019;Entite 3;F2;12
04/02/2019;Entite 3;F5;698
04/02/2019;Entite 3;F7;1361
04/02/2019;Entite 4;F5;77
04/02/2019;Entite 4;F7;753
04/02/2019;Entite 5;F1;38
04/02/2019;Entite 5;F2;962
04/02/2019;Entite 5;F3;33
04/02/2019;Entite 5;F5;658
04/02/2019;Entite 5;F6;1004
04/02/2019;Entite 5;F7;5498
05/02/2019;Entite 1;F1;9
05/02/2019;Entite 1;F2;227
05/02/2019;Entite 1;F3;351
05/02/2019;Entite 1;F4;1
05/02/2019;Entite 1;F5;146
05/02/2019;Entite 1;F6;1915
05/02/2019;Entite 1;F7;1350
05/02/2019;Entite 2;F1;1990
05/02/2019;Entite 2;F2;1143
05/02/2019;Entite 2;F3;351
05/02/2019;Entite 3;F2;10
05/02/2019;Entite 3;F5;680
05/02/2019;Entite 3;F7;1196
05/02/2019;Entite 4;F5;70
05/02/2019;Entite 4;F7;729
05/02/2019;Entite 5;F1;32
05/02/2019;Entite 5;F2;922
05/02/2019;Entite 5;F3;44
05/02/2019;Entite 5;F5;615
05/02/2019;Entite 5;F6;719
05/02/2019;Entite 5;F7;4914
06/02/2019;Entite 1;F1;8
06/02/2019;Entite 1;F2;210
06/02/2019;Entite 1;F3;351
06/02/2019;Entite 1;F5;134
06/02/2019;Entite 1;F6;1839
06/02/2019;Entite 1;F7;1152
06/02/2019;Entite 2;F1;1843
06/02/2019;Entite 2;F2;1198
06/02/2019;Entite 2;F3;490
06/02/2019;Entite 3;F2;8
06/02/2019;Entite 3;F5;699
06/02/2019;Entite 3;F7;1104
06/02/2019;Entite 4;F5;91
06/02/2019;Entite 4;F7;873
06/02/2019;Entite 5;F1;29
06/02/2019;Entite 5;F2;870
06/02/2019;Entite 5;F3;69
06/02/2019;Entite 5;F5;727
06/02/2019;Entite 5;F6;888
06/02/2019;Entite 5;F7;5259
07/02/2019;Entite 1;F1;9
07/02/2019;Entite 1;F2;225
07/02/2019;Entite 1;F3;309
07/02/2019;Entite 1;F5;99
07/02/2019;Entite 1;F6;1458
07/02/2019;Entite 1;F7;766
07/02/2019;Entite 2;F1;1762
07/02/2019;Entite 2;F2;1122
07/02/2019;Entite 2;F3;392
07/02/2019;Entite 3;F2;1
07/02/2019;Entite 3;F5;437
07/02/2019;Entite 3;F7;848
07/02/2019;Entite 4;F5;62
07/02/2019;Entite 4;F7;555
07/02/2019;Entite 5;F1;28
07/02/2019;Entite 5;F2;811
07/02/2019;Entite 5;F3;51
07/02/2019;Entite 5;F5;525
07/02/2019;Entite 5;F6;617
07/02/2019;Entite 5;F7;4161
08/02/2019;Entite 1;F1;6
08/02/2019;Entite 1;F2;193
08/02/2019;Entite 1;F3;250
08/02/2019;Entite 1;F5;89
